"pid","S1","S2","S3","A0","S4_Android","S4_Gmail","S4_Google_Chrome","S4_Google_Drive","S4_Google_Maps","S4_Google_News","S4_Google_Pay","S4_Google_Play_Store","S4_Google_Search","S4_YouTube","S5","IUIPC1","IUIPC2","IUIPC3","IUIPC4","IUIPC5","IUIPC6","IUIPC7","IUIPC8","IUIPC9","IUIPC10","Q1","Q2","Q2_A","Q3","Q3_A","Q4","Q5","Q6","A1","Q7_1","Q7_2","Q7_3","Q7_A_1","Q7_A_2","Q7_A_3","Q7_B_1","Q7_B_2","Q7_B_3","Q8","Q9","Q10_recent_search","Q11_recent_search","Q12_recent_search","Q13_recent_search","Q14_recent_search","Q10_recent_youtube","Q11_recent_youtube","Q12_recent_youtube","Q13_recent_youtube","Q14_recent_youtube","Q10_recent_maps","Q11_recent_maps","Q12_recent_maps","Q13_recent_maps","Q14_recent_maps","Q10_threemonth_search","Q11_threemonth_search","Q12_threemonth_search","Q13_threemonth_search","Q14_threemonth_search","Q10_threemonth_youtube","Q11_threemonth_youtube","Q12_threemonth_youtube","Q13_threemonth_youtube","Q14_threemonth_youtube","Q10_threemonth_maps","Q11_threemonth_maps","Q12_threemonth_maps","Q13_threemonth_maps","Q14_threemonth_maps","Q10_eighteenmonth_search","Q11_eighteenmonth_search","Q12_eighteenmonth_search","Q13_eighteenmonth_search","Q14_eighteenmonth_search","Q10_eighteenmonth_youtube","Q11_eighteenmonth_youtube","Q12_eighteenmonth_youtube","Q13_eighteenmonth_youtube","Q14_eighteenmonth_youtube","Q10_eighteenmonth_maps","Q11_eighteenmonth_maps","Q12_eighteenmonth_maps","Q13_eighteenmonth_maps","Q14_eighteenmonth_maps","Q15_1","Q15_2","Q16","Q17","Q18","Q19","Q20_web","Q20_youtube","Q20_maps","Q20_A","Q21","A2","Q22","Q22_A","Q23","Q23_A","Q24","Q24_A","Q25","Q25_A","Q25_B","Q25_C","Q26","Q26_A","Q27","Q27_A","D1","D2","D3","D4","oldest_activity","activities_total"
121,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google News, Google Play Store, Google Search, YouTube","No","Always","Always","Always","Always","Always","Often",NA,"Often","Always","Always","Very important","Somewhat agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Moderately aware","Somewhat concerned","I know that anything provided free of charge that I become a source of data for that provider. It is my hope that the personal data collected is of a moderate benefit to me.","Sometimes","I know that my browsing and viewing history impacts ads and information feeds for my consumption. I try to be aware of this manipulation and rarely interact with suggested content.","I believe that I have restricted some Google data gathering in the past but I am curious to see what has been collected.","I am a little concerned that Google tracks my activity on an encrypted email provider. It is a browser based email so I need to understand how far Google views this encrypted email provider data.","No","Round","To provide relevant content.","To track my political affiliation.","To track researchers that threaten their empire!","Moderately beneficial","Somewhat beneficial","Extremely beneficial","Somewhat harmful","Moderately harmful","Extremely harmful","I try to be mindful that my actions are being tracked by Artificial Intelligence algorithms even beyond Google.   ","Neither agree nor disagree","Yes","Yes","Neither agree nor disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Improves my experience","After 18 months","Yes","Yes","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","Yes","Agree","Improves my experience","After 18 months","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a few hours","Unsure","Yes","Neither agree nor disagree","Does not change my experience","After 18 months","Yes","Yes","Agree","Improves my experience","After 18 months","Yes","Yes","Strongly disagree","Does not change my experience","After 3 months","Google is the Eye in the Sky.","Don't do anything on the Internets that you wouldn't want published in the local paper!",1,"Appropriate","Appropriate","Slightly appropriate","Delete after 3 months","Delete after 18 months","Delete immediately","Google AI has some merits when it points to new and previously unknown sources of interest. However, in certain instances the personal value diminishes and I would prefer to control data storage activity.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","It provides a static data display but doesn't disclose the underlying AI that I am sure that it collects and stores on the masses. ","Yes","Tighten data storage length but not to adversely impact the personal value to me.","Yes","Activity that is a minor curiosity or whim that I would not want the AI algorithms to consider in the future. ","Yes","Tighten data expiry where it does not benefit.","","","Moderately concerned","Everyone should be concerned with AI activity. What are they analyzing past simple data analytics?","Sometimes","I enjoy learning from YouTube and its suggestions exposes me to new learning opportunities. YouTube Music is a new love. It recommends old music that I have not heard in years that I really enjoy.","Man","55 - 64","Associate degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2018-09-22,10500
122,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google News","No","Always","Always","Often","Often","Often","Sometimes",NA,"Always","Often","Always","Important","Strongly agree","Strongly agree","Somewhat disagree","Agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Extremely aware","Moderately concerned","There is no way yet to know how this data could affect me in the future. What this information could be used for and how it impacts me 20 years from now is a total mystery.","Sometimes","I'm given information and predictions about what I'm looking for in a more precise and efficient manner, because my data has clued google in.","No, not really. Ocassionally I'll open a incognito browser. ","It's an awful lot of my life on that page","Yes","Round","marketing","predictions","analysis of behavior to make new products/apps","Slightly beneficial","Moderately beneficial","Somewhat beneficial","Moderately harmful","Moderately harmful","Not at all harmful","I'm unsure of how they'll use it in the future","Agree","Yes","Yes","Neither agree nor disagree","Slightly improves my experience","After 18 months","Yes","Yes","Agree","Improves my experience","After 18 months","Yes","Yes","Agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Disagree","Slightly improves my experience","After a month","Yes","Yes","Agree","Greatly improves my experience","I wouldn't delete","No","Yes","Strongly disagree","Does not change my experience","After a week","Unsure","Yes","Disagree","Slightly improves my experience","After 3 months","No","No","Agree","Greatly improves my experience","After 18 months","insecure","concerned",0,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","Delete after 18 months","Delete after 3 months","Never delete","I frequently want to go back to a place on maps without looking the information up again. storage is helpful. Other items are usually no longer relevant after a few months at most.","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","It forced me to look at all of it and realize how it paints a picture of me and my family.","Yes","Not sure. Need to look at the options.","Yes","Irrelevant, one off items. ","Unsure","","","I haven't thought enough yet about what I would change and on which products","Moderately concerned","It feels like a safety concern in some ways or a risk of my information being used against me in some way in the future.","Always","It makes a more efficient user experience","Woman","35 - 44","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2007-02-22,65742
123,"Yes","More than five years","Gmail, Google Drive, Google Chrome, Google Maps, Google News, Google Play Store, Google Search, YouTube, Android","No","Always","Always","Always","Always","Always","Always",NA,"Always","Always","Always","Very important","Neither agree nor disagree","Agree","Somewhat agree","Strongly agree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat aware","Somewhat concerned","I don't lnow where the information goes","Sometimes","I get personalized ads","You can turn off the option for Google to collect your data","I was shocked at how much it knew about what I've done and the places I've been","Yes","Round","Advertisements","Government","Tracking","Extremely beneficial","Not at all beneficial","Slightly beneficial","Not at all harmful","Extremely harmful","Extremely harmful","I want my life to be private","Neither agree nor disagree","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week",NA,NA,NA,NA,NA,"Yes","Yes","Agree","Slightly improves my experience","After a month","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week",NA,NA,NA,NA,NA,"No","No","Neither agree nor disagree","Does not change my experience","After a month","No","Yes","Neither agree nor disagree","Does not change my experience","After a month",NA,NA,NA,NA,NA,"No","Yes","Neither agree nor disagree","Does not change my experience","After a month","Scared","Worried",5,"Slightly appropriate","Slightly appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I want it to be gone eventually","Google no longer collects activity data about me","Round","Agree","I know what it looks at now","No","None, nothing","Yes","Potentially a total delete if I remember","No","","I feel like the tracking could have a good purpose","","Slightly concerned","Knowing what they do with the info","Sometimes","They make good recommendations","Woman","18 - 24","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2016-12-22,18213
124,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google News","No","Always","Always","Always","Often","Often","Sometimes",NA,"Often","Always","Often","Very important","Somewhat agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat aware","Slightly concerned","Well, I trust google mostly...but there is sooooo much being collected I am not sure I can track it all","Often","I get ads I am interested in (when I want ads) and I get to sue all my services that I love","Not really. But I am careful about third party apps","Looks like it has what I expected...mostly my browsing history","Yes","Round","TO provide me better search results","To understand my interests better","To help with tracking and providing me better news results","Moderately beneficial","Moderately beneficial","Moderately beneficial","Not at all harmful","Not at all harmful","Not at all harmful","That it gets sold to other parties and then I get spammed","Agree","Yes","Yes","Agree","Slightly improves my experience","After 3 months","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a month","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a month","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a month","Unsure","Unsure","Neither agree nor disagree","Does not change my experience","After a month","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Surprise that I have that much history stored","Normal---it does not really surprise me that it is there though",5,"Appropriate","Appropriate","Appropriate","Delete after 18 months","Delete after 3 months","Never delete","Some i need...others I do not...map data is important to me","Google no longer collects activity data about me","Red","Agree","A one stop shop to see what is being collected which is nice","No","None at this time","Yes","Browser history and YouTUbe as well","No","","I like the way it works for me","","Slightly concerned","Just a lot to track and manage","Often","I have Assistants and maps and all kinds of things I use from Google","Man","45 - 54","Trade / technical / vocational training","I have an education in, or work in, the field of computer science, computer engineering or IT.",2006-03-09,59346
125,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google Pay","No","Always","Always","Always","Always","Always",NA,"Sometimes","Sometimes","Always","Often","Very important","Somewhat agree","Somewhat agree","Agree","Agree","Strongly agree","Somewhat agree","Agree","Agree","Somewhat agree","Agree","Slightly aware","Slightly concerned","I know that they are collecting my data, but I think there are laws or protocols that ensure they can't do anything overtly harmful with that data.","Sometimes","Google uses my data to suggest things that are in line with what I have been looking at. Sometimes it recommends products or services that I find to be useful.","I use incognito tabs when browsing for things that I would rather not be easily traced back to me.","It would be a good place to go if I couldn't find a website or article I was looking at before.","No","Round","Provide more personalized recommendations","Collect data to see what users are clicking on more","Monitor if people are searching suspicious things","Somewhat beneficial","Slightly beneficial","Somewhat beneficial","Slightly harmful","Slightly harmful","Not at all harmful","I'm concerned about how much access the government has to this information.","Agree","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","No","No","Neither agree nor disagree","Does not change my experience","After 3 months","No","Yes","Agree","Slightly improves my experience","After 18 months","Yes","Yes","Agree","Slightly improves my experience","After 18 months","Yes","Yes","Agree","Improves my experience","I wouldn't delete","No","Yes","Agree","Slightly improves my experience","After 18 months","Yes","Yes","Agree","Slightly improves my experience","After 3 months","No","Yes","Agree","Improves my experience","I wouldn't delete","Unsurprised","Nostalgic",0,"Appropriate","Appropriate","Appropriate","Never delete","Never delete","Never delete","I think it's nice to have a record of what I have been viewing. Sometimes I will be looking for something I found a few years ago and it is helpful to have this record of my activity.","Google still collects activity data about me, but does not associate it with my account","Red","Disagree","I wasn't surprised by any of the information from the My Activity page.","Unsure","Unsure","Unsure","Maybe activities that are leading to recommendations that I don't want to receive.","No","","There is no way to avoid data collection from online services and I am happy with the services that Google products provide.","","Slightly concerned","I don't really understand just how much they are collecting, but I think it's probably fine.","Sometimes","Google uses my data to provide better experiences on their products, which is helpful.","Non-binary","18 - 24","High school graduate, diploma, or equivalent (e.g., GED, Abitur, baccalaureat)","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2013-05-24,36814
126,"Yes","Five years","Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Play Store, Android, Google Search, Google Pay","Yes","Always","Always","Always","Often","Always",NA,"Sometimes","Always","Always","Always","Very important","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Somewhat agree","Agree","Neither agree nor disagree","Moderately aware","Moderately concerned","Because Google does for our good.","Always","Because I totally trust google.","Yes. I will use google map location.","Nothing. All Activity is OK.","Yes","Round","To strengthen my personal data.","To make me easier to understand.","To give me more benefits.","Extremely beneficial","Extremely beneficial","Extremely beneficial","Not at all harmful","Not at all harmful","Not at all harmful","Nothing.","Strongly agree","Yes","Yes","Agree","Improves my experience","After a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This activities much helpful.","It helps me to collect my previos data.",50,"Appropriate","Appropriate","Absolutely appropriate","Delete after 3 months","Delete immediately","Delete after 3 months","I would like to change my activities stored after 30 days.","Google no longer collects activity data about me","Red","Agree","Because as a result, I get back my previous work data to using google my activity.","No","Nothing.","Unsure","I'm not sure.","Yes","Because for my personal privacy.","","","Extremely concerned","Because I am very conscious of my personal privacy.","Always","Because I get my previous work to using it.","Man","45 - 54","Bachelor's degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2020-08-20,36
127,"Yes","Five years","Gmail, Google Chrome, Google Maps, Google Drive, Google Play Store, Google Search, YouTube","No",NA,"Always","Always","Always","Often",NA,NA,"Sometimes","Always","Always","Very important","Neither agree nor disagree","Agree","Somewhat disagree","Agree","Agree","Neither agree nor disagree","Somewhat disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Slightly aware","Not at all concerned","I've heard that the information collected by Google primarily has to do with interests and website visits in order to display better targeted advertisements. I feel as though this information is not too dangerous to share, as it is not sensitive information, such as my birthday or other identifying information.","Sometimes","I will occasionally click on a targeted advertisement if I'm interested in what the targeted ad shows.","I do not. I generally enable cookies on all the websites that I visit because I don't visit suspicious websites.","At first I was surprised at all the information being collected but then I realized it was mostly just my search history, watch history, or explore history, in regards to google maps.","Yes","Round","Marketing","Training AI","Developing New Software","Moderately beneficial","Extremely beneficial","Extremely beneficial","Not at all harmful","Not at all harmful","Not at all harmful","I'm concerned if they're selling it but, like I said, it's not identifying information. At least, I don't think.","Strongly agree","No","No","Disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","No","Agree","Improves my experience","After 18 months","Yes","No","Agree","Improves my experience","After a week","No","No","Agree","Improves my experience","After a week","No","No","Agree","Improves my experience","After a few hours","No","No","Disagree","Does not change my experience","After a day","Yes","No","Disagree","Does not change my experience","After a day","No","No","Agree","Improves my experience","After a day","I was surprised at the amount of data collected and from how far back it went.","I was glad to see that these were being collected to that I could be recommended videos or articles similar to the ones I watched.",0,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","Activities past three months aren't too useful in recommending things, as they are too far back to make useful recommendations.","Google no longer collects activity data about me","Red","Agree","I can see what data they collect. I can assume things about how they'd use the data, but ultimately I don't know how they use it, other than what Google says they use it for. ","No","None.","No","None.","No","","This isn't identifying data. Just my searches and map views and videos watched. I'd honestly prefer them to collect my data so they can recommend me relevant and enjoyable videos and whatnot.","","Not at all concerned","Not identifying information; really only helps my experience.","Often","I click on the recommended articles on my google chrome app on my iPhone and recommended videos on YouTube a lot. Especially the recommended articles. I usually read primarily those recommended articles because I don't go out of my way to look for articles to read.","Man","18 - 24","High school graduate, diploma, or equivalent (e.g., GED, Abitur, baccalaureat)","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2013-05-04,38486
128,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Often","Always",NA,NA,NA,"Always","Always","Very important","Agree","Agree","Somewhat agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Slightly aware","Moderately concerned","I don't like for my personal info to be shared or used unless I authorize it","Sometimes","It probably helps to get me offers and info that suites my info.","No, I don't have any strategies","I knew they were captured my history so I was aware of that","No","Round","to assist with suggestions on website","to assist with offers","to cater your screens to things you like","Moderately beneficial","Moderately beneficial","Moderately beneficial","Not at all harmful","Not at all harmful","Not at all harmful","No, I don't have any concerns.","Agree","Yes","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","No","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a month","Amazed","Interested",0,"Slightly appropriate","Slightly appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I don't believe I would need info after 3 months in my own reference, they shouldn't have access to it that long as well.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","Yes, it helps me to understand based on what Google says they are doing.  But I believe they are doing something else with that info as well.","No","None, I would just leave it for now","No","Old things maybe, or activity I wouldn't want other to see.","No","","I'm not to concerned about Google.  I don't have alot to hide.  Still don't like the privacy concerns but I think we are tracked anyways.","","Slightly concerned","Don't believe it is that big of a deal if they are truly using it for personalization and such.","Sometimes","I believe I do get recommendations, definitely helps with YouTube videos.","Woman","35 - 44","Master's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2009-10-17,26298
129,"Yes","Five years","Google Chrome, Google Drive, Google Maps, Google Search, YouTube, Gmail","No",NA,"Always","Always","Often","Often",NA,NA,NA,"Always","Always","Very important","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Disagree","Somewhat agree","Disagree","Somewhat disagree","Somewhat aware","Not at all concerned","I am not concerned as I know this information is not sensitive.","Sometimes","I receive ads that I have interest in and do not see ""annoying"" ads as a result.","No I do not","Not surprised, I figured my data would be stored.","No","Round","To provide better ads","Customize my search results based on interest","Sell data to other companies","Moderately beneficial","Moderately beneficial","Not at all beneficial","Not at all harmful","Not at all harmful","Slightly harmful","No, I have no concerns.","Neither agree nor disagree","Yes","Yes","Strongly disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Agree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Agree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Agree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly disagree","Does not change my experience","I wouldn't delete","I was not surprised","It was funny seeing the searches",0,"Appropriate","Appropriate","Slightly appropriate","No change","No change","No change","I do not care if it is changed, it does not matter to me.\n","Google still collects activity data about me, but does not associate it with my account","Red","Agree","I get to see what is being tracked and how instantaneous it is.","No","I am not changing any.","No","I am not deleting anything","No","","Google is very convenient for me and my google account is tied with everything else I use.","","Not at all concerned","I do not care if my information is collected.","Sometimes","I get better ads recommended to me","Man","18 - 24","High school graduate, diploma, or equivalent (e.g., GED, Abitur, baccalaureat)","Prefer not to disclose",2014-03-09,22561
130,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Sometimes","Sometimes",NA,NA,NA,"Always","Always","Very important","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Somewhat aware","Moderately concerned","I dont want my personal info shared with other individuals. ","Sometimes","I might benefit because I may see more content that I find interesting. ","Change the privacy setting on the web pages I visit. ","I see that google keep track of my history and my youtube history and the various sites and apps I have used. ","Unsure","Round","Keeping track of my history so that I can use it for later use. ","Keeping track of my youtube history so that i can access it later ","Keep track of the my history so that google can show me ads that pertain to me. ","Moderately beneficial","Moderately beneficial","Somewhat beneficial","Moderately harmful","Moderately harmful","Somewhat harmful","I just dont want any of this information to be seen and used by other individuals. ","Agree","Yes","Yes","Neither agree nor disagree","Slightly improves my experience","After a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsure","Yes","Strongly disagree","Harms my experience","Immediately, I do not want this data to be collected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Neither agree nor disagree","Improves my experience","After a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alert","surprised ",0,"Appropriate","Appropriate","Appropriate","Delete after 3 months","Delete after 18 months","Delete after 18 months","I just dont need all the history to be stored for longer than probably a months time. ","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","It lets me see what history has been recorded and what is being recorded based on my experiences. ","Unsure","May change how long google stores my information. ","Yes","My search history as well as my youtube history. ","Yes","Privacy and history storage preferences ","","","Somewhat concerned","I'm not that concerned about it, but again I do not want my info to be leaked or have others seeing it. ","Sometimes","Again, I may see ads recomended to me based on my search history which could add to my overall experience. ","Man","25 - 34","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2020-06-23,707
131,"Yes","More than five years","Android, Gmail, Google Chrome, Google Maps, Google News, Google Play Store, Google Search, YouTube","No","Always","Always","Always",NA,"Often","Often",NA,"Always","Always","Sometimes","Very important","Strongly agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Slightly aware","Moderately concerned","It freaks me out when things pop up I have mentioned or something. It's almost like they are spying and eavesdropping sometimes. If I want to research something, I'll look it up myself. ","Sometimes","Sometimes it is something I want to research and just haven't gotten into so it serves as a reminder. ","Not really. ","They have a LOT of information on my doings,  it's like spying almost. Kind of creepy. ","No","Round","To alter advertisements they think interest me","Homeland Security? ","Probably selling it to advertisers","Slightly beneficial","Not at all beneficial","Not at all beneficial","Slightly harmful","Not at all harmful","Somewhat harmful","I saw my bill information on there from where I paid online for my power bill, etc. I would worry personal information could get out by keeping things like that. ","Neither agree nor disagree","Yes","No","Strongly disagree","Does not change my experience","I wouldn't delete","Yes","No","Disagree","Does not change my experience","I wouldn't delete","Yes","Unsure","Neither agree nor disagree","Slightly improves my experience","After 18 months","No","No","Strongly disagree","Does not change my experience","After a day","Yes","No","Disagree","Does not change my experience","After a month","No","No","Strongly disagree","Does not change my experience","After a few hours","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","No","Strongly disagree","Does not change my experience","After a day","No","No","Disagree","Does not change my experience","After a day","confusion","shock",2,"Appropriate","Slightly appropriate","Slightly inappropriate","Delete after 18 months","Delete after 3 months","Delete after 3 months","some of it was one time stuff and I have no need for it to be kept. Other things, like searches are helpful. You Tube, I don't use much and never to watch full movies or anything, so I wouldn't need those kept at all really, but I might keep for a little while, just in case I want to refer back or show someone else. ","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","It definitely helps to see what information they are collecting, some of it I had no idea was being kept. ","Unsure","You Tube for sure, probably google maps ","Unsure","maps and one-time things I don't care to know more about. ","Unsure","","","I will probably still use them because they are convenient, just might change how I use them or refer to this page more often and make adjustments as needed ","Moderately concerned","The personal information is what gets me. I don't need strangers to know the name of my bank or my power company just because I visited a website. ","Sometimes","I do appreciate being able to easily locate a site I might have seen in the past by just typing in a few words, especially when I can't remember the name of the site originally. ","Woman","35 - 44","Associate degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2012-02-05,19167
132,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google News, Google Pay","No","Always","Often","Always","Often","Sometimes","Sometimes","Often","Always","Always","Often","Very important","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Moderately aware","Moderately concerned","Google monitors individual online history and store this information online without giving the individuals full control over how their data are used.","Sometimes","There are advantages to google collecting some of our data as it helps in preserving important information across devices","Yes, I sometimes make use of incognito browsers and also virtual private network to protect my identity and information collected about me.","I was a bit suprised as all my search history were stored on the page.","Yes","Round","To track users information across devices","To provide users with personalized add to suit my browsing history","To provide personalized content on google searches","Slightly beneficial","Slightly beneficial","Somewhat beneficial","Extremely harmful","Not at all harmful","Not at all harmful","Google collecting this information means there's no privacy","Disagree","Yes","Yes","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Agree","Improves my experience","After 3 months","No","No","Agree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Strongly disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","No","Agree","Slightly improves my experience","After 3 months",NA,NA,NA,NA,NA,"Yes","Yes","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Yes","Yes","Strongly disagree","Does not change my experience","After a few hours",NA,NA,NA,NA,NA,"Distressed","Nervous",105,"Inappropriate","Appropriate","Absolutely inappropriate","Delete immediately","Delete after 3 months","Delete immediately","I don't want my activities stored for a long time to prevent exploitation by hackers and breach of data","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Strongly disagree","I don't see any good reasons for google collecting all that data","Yes","I will change my auto delete option to a faster time and also pause my activity account.","Yes","My search history, youtube contents and places I have been on google maps","Yes","I would pause my activity account and make use of guest accounts when doing sensitive things online","","","Moderately concerned","Google collecting those information means there is no privacy for anyone online","Sometimes","Sometimes it helps with my search results online and my youtube experience.","Man","35 - 44","Bachelor's degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2019-05-05,3118
